"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,3.375,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.11666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.80833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.44166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.35,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.775,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.81666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.24166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.40833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.66666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.20833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,4.275,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.525,"B","Break"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.71666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.93333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.45833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,3.95833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.56666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.48333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,3.93333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.775,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.69166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,4.90833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.36666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.99166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.875,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,4.75,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.45833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","NOR","Norway","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,3.23333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.99166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.73333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,5.775,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,5.99166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.53333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,5.06666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.61666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.61666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,5.775,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,9.26666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,9.61666666666666,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,8.95,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,8.06666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,7.375,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.16666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,5.29166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,4.86666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.35,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.66666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,8.09166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,5.36666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","USA","United States","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,3.65,,
